Loan_ID,Customer_ID,Loan_Amount,Interest_Rate,Start_Date,End_Date,NPL_Status,Remaining_Debt
1,47500,366387074,21.7,2023-04-25,2027-12-29,Yo‘q,112983934.53
2,44829,95156363,10.1,2023-10-17,2025-11-16,Ha,79158172.84
3,26377,351335026,18.0,2022-04-27,2026-04-30,Yo‘q,175002794.03
4,17463,13423343,15.3,2021-03-02,2022-09-30,Yo‘q,1952386.57
5,12643,250291414,13.3,2024-07-01,2026-06-18,Yo‘q,62341182.88
6,23849,330768018,15.2,2022-02-18,2024-12-09,Yo‘q,159004578.31
7,3320,40736865,27.8,2020-01-05,2024-10-03,Ha,21396337.64
8,31147,326526490,24.8,2022-08-20,2025-02-24,Yo‘q,124250568.41
9,45619,211694002,12.2,2021-11-12,2025-08-22,Yo‘q,1274471.34
10,36357,113257563,11.0,2020-09-14,2023-12-07,Yo‘q,29162364.36
11,17755,356540485,11.9,2022-09-28,2023-12-14,Ha,297807571.51
12,20904,463973299,20.5,2023-08-13,2025-05-04,Yo‘q,186292518.18
13,43849,154278733,28.8,2022-01-28,2025-04-05,Yo‘q,11611678.11
14,49928,218952479,12.6,2023-09-20,2028-03-09,Yo‘q,81327817.47
15,12831,229444640,30.0,2023-04-11,2026-02-10,Ha,209723459.66
16,44160,278275350,25.7,2020-05-18,2024-02-14,Yo‘q,36032251.37
17,32469,455274370,28.2,2020-08-17,2025-08-10,Yo‘q,64733762.5
18,36940,412070865,28.6,2020-01-05,2024-11-25,Yo‘q,116601020.14
19,1572,398448611,28.0,2020-06-27,2025-05-30,Yo‘q,98327072.03
20,1838,88004218,11.3,2023-08-07,2026-07-01,Yo‘q,32082351.96
21,12867,36614945,26.7,2024-05-05,2026-11-17,Yo‘q,13477685.38
22,31489,464695086,23.0,2021-10-12,2025-02-13,Ha,270758889.92
23,8478,102899068,12.5,2021-03-23,2025-12-13,Yo‘q,43826308.51
24,13287,319409636,25.7,2024-01-27,2026-08-22,Yo‘q,42284812.79
25,1171,438003708,26.8,2022-12-26,2026-05-01,Yo‘q,24471003.66
26,28564,75188345,29.5,2023-08-14,2027-09-11,Yo‘q,4329202.79
27,42450,15091662,29.3,2020-08-22,2022-11-11,Yo‘q,6112504.02
28,46340,380301346,26.8,2022-11-22,2026-03-29,Yo‘q,27931389.8
29,36842,204354786,28.3,2020-05-16,2021-06-13,Yo‘q,93567484.11
30,21525,309800809,13.0,2020-05-28,2022-07-04,Yo‘q,13968980.0
31,18447,482929548,13.0,2021-04-16,2024-09-08,Yo‘q,120313723.52
32,9785,72755392,13.7,2020-12-11,2025-10-09,Yo‘q,15195646.0
33,29540,26395721,12.0,2022-12-06,2025-08-26,Yo‘q,7141595.92
34,21246,49857568,23.9,2020-02-24,2021-11-14,Yo‘q,228719.24
35,4205,480657602,12.2,2023-06-15,2026-12-23,Yo‘q,138200421.16
36,8708,378286882,22.2,2024-06-09,2026-11-11,Yo‘q,108484385.47
37,7291,486764740,13.7,2022-11-19,2025-08-15,Yo‘q,163838558.27
38,14076,198239912,11.0,2024-03-12,2026-03-03,Ha,160075106.85
39,42060,307484654,24.8,2023-05-19,2028-01-16,Yo‘q,140795212.75
40,6141,71588196,20.8,2020-08-14,2022-12-23,Yo‘q,9767759.54
41,38386,499589922,28.2,2023-07-22,2025-12-29,Ha,341087010.06
42,7869,355064382,10.8,2020-12-15,2024-12-02,Yo‘q,77491073.07
43,15560,270051955,26.4,2020-04-08,2023-04-14,Ha,196229216.32
44,20729,140669285,10.1,2020-11-20,2024-06-08,Yo‘q,35437011.45
45,14933,128641322,20.2,2022-06-02,2026-02-01,Yo‘q,45445013.4
46,45193,307881347,17.5,2021-09-24,2022-09-28,Yo‘q,152859338.99
47,34804,186002694,18.5,2020-01-19,2024-12-12,Ha,171635515.75
48,25297,71669754,22.2,2024-06-30,2028-02-01,Yo‘q,25575970.97
49,33089,143220269,21.0,2020-03-01,2024-02-22,Yo‘q,14864821.63
50,38565,22069044,20.9,2022-02-27,2025-03-23,Yo‘q,10349109.69
51,42272,157998698,24.2,2022-06-08,2023-11-01,Yo‘q,62356736.54
52,40447,342876289,19.6,2022-11-04,2026-09-30,Yo‘q,102157539.88
53,5167,405504645,12.4,2020-10-22,2023-01-08,Ha,308359268.3
54,26704,368885358,16.1,2020-08-03,2025-01-01,Yo‘q,4296284.71
55,2016,446325366,17.0,2021-06-19,2024-09-26,Ha,398889837.93
56,6072,398409833,12.5,2023-10-14,2026-06-28,Yo‘q,146260229.97
57,22543,315205685,23.8,2022-06-24,2025-10-12,Ha,233652163.15
58,46924,446926672,15.0,2020-04-04,2023-02-02,Yo‘q,88986431.19
59,3184,473591128,19.0,2020-08-05,2022-12-13,Ha,289221258.81
60,20565,96411096,14.3,2022-09-10,2024-07-17,Yo‘q,39443684.47
61,26065,360447227,27.4,2021-05-13,2022-07-22,Yo‘q,113362018.77
62,36916,224736671,22.8,2021-10-21,2023-02-17,Yo‘q,14591790.55
63,31908,265090945,16.0,2020-11-06,2022-07-30,Yo‘q,96174141.96
64,37915,436804902,28.1,2024-04-09,2028-06-21,Ha,241240919.26
65,20198,226108999,17.5,2023-09-18,2027-02-09,Yo‘q,6762215.72
66,7492,106918511,16.5,2022-03-08,2024-04-01,Yo‘q,23559217.52
67,49546,446852503,25.8,2023-11-26,2025-07-29,Yo‘q,20885092.15
68,48939,139790090,27.0,2024-01-09,2027-01-07,Yo‘q,13264063.05
69,25849,482616795,28.4,2020-06-10,2023-01-06,Yo‘q,15510316.95
70,11487,13116876,18.6,2024-06-15,2026-02-08,Yo‘q,3073658.31
71,34004,403370494,16.8,2023-10-10,2028-04-28,Yo‘q,107971682.16
72,2471,89232102,20.8,2020-11-06,2024-12-10,Yo‘q,27326785.38
73,49011,322884862,17.1,2020-02-13,2023-07-07,Yo‘q,144978050.29
74,28339,2841631,22.4,2023-04-28,2026-10-19,Yo‘q,594511.95
75,8318,190712182,19.3,2024-01-28,2028-03-26,Yo‘q,3229263.75
76,7358,450445906,11.0,2021-02-10,2023-10-04,Yo‘q,94032620.31
77,43089,206131603,19.9,2023-03-14,2028-01-02,Yo‘q,93711741.62
78,29467,232746411,27.7,2022-04-10,2023-11-25,Yo‘q,48146674.8
79,47359,123667871,23.1,2020-07-17,2024-01-06,Yo‘q,53697945.11
80,9971,189696691,21.7,2022-03-20,2023-05-27,Yo‘q,45759782.55
81,39853,397257794,20.8,2024-05-03,2027-08-26,Yo‘q,132128931.71
82,19365,476596037,24.3,2023-11-27,2028-04-10,Yo‘q,18710811.7
83,9800,353837206,18.9,2020-04-30,2025-01-27,Yo‘q,119055027.59
84,36416,290813841,14.3,2023-07-03,2025-11-07,Yo‘q,19826203.56
85,4579,403393565,26.0,2021-05-10,2023-08-15,Ha,359419936.62
86,39538,93288053,16.5,2020-03-06,2024-04-16,Yo‘q,11708043.74
87,30056,71624989,24.9,2023-08-06,2027-10-25,Yo‘q,17131265.41
88,18531,243649958,29.7,2021-05-22,2025-06-27,Yo‘q,47947696.92
89,9550,111893836,17.2,2021-10-02,2023-01-11,Yo‘q,36420332.95
90,5015,452205461,23.8,2024-02-03,2027-01-13,Yo‘q,148395049.72
91,9213,55572213,27.9,2024-06-30,2029-04-11,Yo‘q,5414563.04
92,5238,87016514,17.3,2024-01-01,2025-06-02,Yo‘q,41778220.95
93,4955,484699162,17.7,2023-12-05,2027-12-24,Yo‘q,2150241.91
94,21337,271005739,20.8,2022-05-04,2024-04-23,Yo‘q,85931547.32
95,34658,384138533,18.7,2023-03-15,2026-12-04,Yo‘q,135398173.35
96,28629,45023036,17.7,2022-07-26,2023-10-12,Yo‘q,11641144.41
97,41968,489768981,20.2,2024-02-19,2026-10-22,Yo‘q,220127199.7
98,5745,178513814,21.7,2023-12-09,2027-03-21,Yo‘q,71719854.3
99,11746,475878423,20.8,2021-02-13,2025-06-26,Yo‘q,40851073.96
100,35697,268832826,19.9,2022-09-21,2025-09-18,Yo‘q,41584513.99
101,6258,286587436,26.6,2020-10-03,2022-02-12,Yo‘q,46152607.63
102,21231,256812312,25.3,2020-06-13,2023-01-29,Yo‘q,40863845.6
103,15334,309991269,29.4,2021-02-22,2025-05-11,Yo‘q,137721634.18
104,14057,75618586,29.9,2022-10-03,2027-09-09,Yo‘q,31931354.59
105,5284,183635544,10.4,2022-07-15,2025-07-25,Yo‘q,23794698.27
106,23785,176356456,10.2,2022-05-13,2023-11-19,Yo‘q,9261875.22
107,31061,382774076,24.7,2022-10-26,2027-03-09,Yo‘q,22118434.48
108,26267,156757763,23.6,2022-04-17,2026-12-27,Yo‘q,50599154.33
109,17302,263867977,21.0,2020-09-04,2024-08-31,Yo‘q,95396546.47
110,29424,352093370,28.0,2024-06-11,2026-08-09,Yo‘q,4808520.3
111,38674,392489462,11.1,2023-02-04,2026-05-14,Yo‘q,105081964.3
112,16566,280597322,10.1,2021-11-22,2024-10-14,Yo‘q,66151368.93
113,3801,162262520,24.5,2022-05-27,2023-12-30,Yo‘q,33919313.46
114,19502,42678323,22.2,2024-05-12,2029-02-07,Ha,26803878.58
115,6011,207025469,26.1,2022-02-28,2025-05-02,Ha,188665514.96
116,4997,267710747,12.5,2020-01-23,2024-10-20,Yo‘q,19976625.87
117,24860,221539072,16.9,2020-05-10,2022-09-02,Yo‘q,29952178.68
118,2031,116245185,25.5,2020-05-29,2024-04-18,Yo‘q,38454456.41
119,19346,75124399,26.7,2023-01-05,2024-12-22,Ha,50059724.02
120,12155,254142817,15.2,2021-03-29,2022-04-01,Yo‘q,25059533.66
121,19558,479096512,27.7,2023-01-24,2027-09-26,Ha,320201131.27
122,18068,498518409,17.2,2020-07-02,2022-02-25,Yo‘q,196372493.53
123,21388,49855565,29.8,2022-07-19,2024-12-16,Yo‘q,12901014.88
124,912,159375348,16.1,2023-04-02,2027-05-11,Yo‘q,79237279.63
125,38816,193306233,23.6,2023-10-13,2027-11-23,Yo‘q,5278096.52
126,13952,377829357,25.4,2021-01-27,2025-08-19,Yo‘q,17061423.33
127,11329,389666931,13.9,2020-08-12,2023-11-13,Yo‘q,107066579.15
128,42731,448438681,24.7,2022-10-06,2025-11-30,Yo‘q,4334543.78
129,38045,479912105,18.9,2021-10-03,2023-03-11,Yo‘q,150960924.64
130,12840,153713342,10.2,2023-11-04,2026-08-22,Yo‘q,71757396.36
131,42702,241204841,11.6,2020-07-21,2023-01-08,Yo‘q,102706410.49
132,3498,68192550,13.7,2021-01-16,2025-05-07,Yo‘q,17151776.99
133,1779,348825410,19.9,2022-12-08,2025-05-13,Yo‘q,72815010.72
134,4623,122670414,20.8,2020-10-29,2022-08-02,Yo‘q,25659303.6
135,40296,440174199,14.7,2023-05-27,2024-11-16,Yo‘q,102095337.83
136,39074,4115004,15.5,2022-01-23,2026-03-22,Yo‘q,1506618.22
137,20597,24845675,29.1,2023-05-25,2027-02-27,Yo‘q,6718497.96
138,24020,111714265,17.1,2020-03-15,2024-06-19,Yo‘q,36603801.28
139,28674,318597262,20.2,2020-08-31,2025-08-20,Ha,161450008.44
140,42838,333881219,29.8,2020-12-30,2022-01-18,Yo‘q,137673012.93
141,2031,377446200,23.2,2021-03-14,2022-08-28,Yo‘q,778169.13
142,21703,188564986,14.5,2021-08-29,2023-08-21,Yo‘q,32847828.3
143,38449,326553760,25.2,2020-11-03,2022-09-30,Yo‘q,98864343.1
144,8651,299463948,22.5,2020-04-05,2023-12-14,Yo‘q,51459252.14
145,25005,256043172,14.8,2020-10-09,2022-07-20,Yo‘q,83354507.49
146,39540,393419849,17.6,2020-05-24,2024-01-08,Yo‘q,96870435.37
147,44597,240044974,17.3,2020-09-20,2024-12-18,Yo‘q,10333713.01
148,45918,162410018,21.3,2022-01-25,2025-09-01,Ha,89592313.81
149,2260,481317295,25.2,2021-07-13,2023-10-21,Yo‘q,214556677.51
150,514,234784003,13.9,2022-07-29,2026-07-12,Yo‘q,99362720.18
151,43997,244052650,15.2,2024-05-15,2027-12-21,Yo‘q,62123001.37
152,43746,235235010,29.0,2021-04-19,2024-07-29,Yo‘q,10139023.02
153,29525,242779721,19.4,2020-05-07,2023-11-06,Yo‘q,119503169.93
154,33845,125065171,26.7,2020-09-09,2025-02-05,Yo‘q,40835887.75
155,31515,429952360,28.2,2022-12-21,2026-12-02,Yo‘q,99498678.59
156,29525,446908123,12.3,2022-09-20,2025-08-25,Yo‘q,97807830.62
157,27309,268178671,28.4,2024-05-30,2026-05-23,Yo‘q,91701955.73
158,8539,352896192,25.7,2021-03-08,2022-09-03,Yo‘q,123603720.33
159,47322,134543064,29.5,2020-03-08,2021-08-14,Yo‘q,26136948.7
160,22122,269723410,18.7,2023-06-29,2027-07-03,Yo‘q,67228931.07
161,13610,421300424,28.9,2021-11-18,2024-05-04,Yo‘q,195767474.07
162,10563,446037294,14.3,2024-01-17,2026-04-07,Yo‘q,198216933.73
163,17136,361357950,13.1,2024-01-05,2027-07-04,Ha,267716059.21
164,22798,292395772,15.8,2020-01-15,2024-06-06,Yo‘q,43865598.29
165,4042,58240503,18.1,2023-10-08,2026-01-31,Yo‘q,16617873.63
166,41983,211879284,18.5,2020-11-20,2022-01-24,Yo‘q,15220096.19
167,32581,416989296,19.5,2021-06-14,2023-02-22,Yo‘q,123318633.81
168,48432,322976496,23.7,2022-03-07,2024-06-25,Yo‘q,33348835.14
169,8907,336684488,27.3,2021-11-18,2023-11-02,Ha,197441318.9
170,41947,397274487,19.8,2023-06-14,2025-01-31,Yo‘q,121480416.24
171,31113,410012638,11.0,2020-06-20,2025-04-02,Yo‘q,75594078.19
172,24667,406701599,22.1,2022-06-10,2023-06-17,Yo‘q,133925752.04
173,29093,139964380,12.9,2020-01-03,2022-04-10,Yo‘q,612715.26
174,26457,99167624,10.1,2021-10-09,2023-11-19,Yo‘q,33052823.0
175,32688,250524300,27.1,2024-05-06,2027-05-04,Ha,166927140.97
176,2991,422047099,12.8,2023-06-09,2026-05-21,Yo‘q,158020593.91
177,48165,100297401,24.5,2020-04-24,2021-06-22,Yo‘q,35188193.93
178,16852,92589367,20.1,2020-08-12,2022-07-29,Ha,68031882.07
179,42776,175314157,21.6,2022-07-13,2023-09-21,Yo‘q,82353081.47
